sample_date,test_date,wrrf_name,wrrf_abbreviation,Concentration (N1 Copies/L),Per capita load (N1 copies per day per population),annotation,population_served
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Oakwood Beach,OB,,,analytical issue,258731
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Owls Head,OH,,,analytical issue,906442
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Port Richmond,PR,,,analytical issue,226167
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Red Hook,RH,6120.0,2480000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),224029
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Rockaway,RK,,,analytical issue,120539
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Tallman Island,TI,,,possible analytical issue,449907
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Wards Island,WI,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1201485
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,26th Ward,26W,10200.0,5870000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,26th Ward,26W,,,possible analytical issue,290608
2021-07-27T00:00:00.000Z,2021-07-28T00:00:00.000Z,26th Ward,26W,,,analytical issue,290608
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Bowery Bay,BB,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),924695
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Coney Island,CI,,,"Concentration below Method Limit of Detection;No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021)",682342
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Hunts Point,HP,,,possible analytical issue,755948
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Jamaica Bay,JA,11100.0,4030000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),748737
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Newtown Creek,NC,9250.0,4910000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1156473
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,North River,NR,7150.0,3470000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),658596
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Oakwood Beach,OB,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),258731
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Owls Head,OH,5740.0,2060000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),906442
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Port Richmond,PR,,,"Concentration below Method Limit of Detection;No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021)",226167
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Red Hook,RH,10400.0,3690000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection); this sample was analyzed in duplicate. The higher of the 2 results is reported;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),224029
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Rockaway,RK,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),120539
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Tallman Island,TI,,,"Concentration below Method Limit of Detection;No signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021)",449907
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,Wards Island,WI,,,analytical issue,1201485
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,26th Ward,26W,12600.0,7400000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Bowery Bay,BB,24100.0,8190000.0,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),924695
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Coney Island,CI,1100000.0,4.62E8,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),682342
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Hunts Point,HP,40100.0,2.43E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),755948
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Jamaica Bay,JA,31000.0,1.13E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),748737
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Newtown Creek,NC,7770.0,4500000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1156473
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,North River,NR,10500.0,5760000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),658596
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Oakwood Beach,OB,13700.0,4890000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection); this sample was analyzed in duplicate. The higher of the 2 results is reported;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),258731
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Owls Head,OH,21800.0,8040000.0,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),906442
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Port Richmond,PR,26800.0,9790000.0,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),226167
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Red Hook,RH,12100.0,4710000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),224029
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Rockaway,RK,6840.0,4080000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),120539
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Tallman Island,TI,19000.0,7830000.0,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),449907
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,Wards Island,WI,27000.0,1.58E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1201485
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Bowery Bay,BB,32400.0,1.19E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),924695
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Coney Island,CI,430000.0,2.07E8,this sample was analyzed in duplicate. The higher of the 2 results is reported;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),682342
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Hunts Point,HP,12500.0,7550000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),755948
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Jamaica Bay,JA,11900.0,4510000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),748737
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Newtown Creek,NC,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1156473
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,North River,NR,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),658596
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Oakwood Beach,OB,5760.0,2190000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),258731
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Owls Head,OH,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),906442
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Port Richmond,PR,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),226167
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Red Hook,RH,11400.0,4430000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),224029
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Rockaway,RK,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),120539
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Tallman Island,TI,,,possible analytical issue,449907
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,Wards Island,WI,9990.0,5820000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1201485
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,26th Ward,26W,13300.0,7780000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Bowery Bay,BB,24600.0,8670000.0,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),924695
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Coney Island,CI,34700.0,1.52E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),682342
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Hunts Point,HP,26600.0,1.55E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),755948
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Jamaica Bay,JA,12600.0,4710000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),748737
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Newtown Creek,NC,18700.0,1.06E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1156473
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,North River,NR,6280.0,3350000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection); this sample was analyzed in duplicate. The higher of the 2 results is reported;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),658596
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Oakwood Beach,OB,7230.0,2690000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),258731
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Owls Head,OH,68200.0,2.48E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),906442
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Port Richmond,PR,6250.0,2430000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),226167
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Red Hook,RH,6980.0,2710000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),224029
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Rockaway,RK,,,analytical issue,120539
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Tallman Island,TI,6700.0,2820000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),449907
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,Wards Island,WI,7990.0,4630000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1201485
2020-10-04T00:00:00.000Z,2020-10-05T00:00:00.000Z,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),226167
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,26th Ward,26W,10900.0,6700000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Bowery Bay,BB,36100.0,1.36E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),924695
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Coney Island,CI,470000.0,2.11E8,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),682342
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Hunts Point,HP,14400.0,8570000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),755948
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Jamaica Bay,JA,20300.0,7700000.0,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),748737
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Newtown Creek,NC,21100.0,1.12E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1156473
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,North River,NR,25100.0,1.26E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),658596
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Oakwood Beach,OB,16300.0,5680000.0,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),258731
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Owls Head,OH,70000.0,2.54E7,this sample was analyzed in duplicate. The higher of the 2 results is reported;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),906442
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Port Richmond,PR,21500.0,7890000.0,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),226167
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Red Hook,RH,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),224029
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Rockaway,RK,15900.0,1.05E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),120539
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Tallman Island,TI,,,possible analytical issue,449907
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,Wards Island,WI,31700.0,1.73E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1201485
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,26th Ward,26W,21200.0,1.21E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Bowery Bay,BB,7330.0,2700000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),924695
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Coney Island,CI,6860.0,3160000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),682342
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Hunts Point,HP,7420.0,4270000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),755948
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Jamaica Bay,JA,117000.0,4.21E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),748737
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Newtown Creek,NC,10500.0,6400000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1156473
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,North River,NR,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),658596
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Oakwood Beach,OB,38600.0,1.35E7,this sample was analyzed in duplicate. The higher of the 2 results is reported;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),258731
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Owls Head,OH,25600.0,9200000.0,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),906442
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Port Richmond,PR,,,"Concentration below Method Limit of Detection;No signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021)",226167
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Red Hook,RH,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),224029
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Rockaway,RK,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),120539
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Tallman Island,TI,6570.0,2650000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),449907
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,Wards Island,WI,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1201485
2020-10-04T00:00:00.000Z,2020-10-05T00:00:00.000Z,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),224029
2020-09-27T00:00:00.000Z,2020-09-30T00:00:00.000Z,26th Ward,26W,49700.0,3.11E7,"original RT-qPCR (9/28/2020) failed, RT-qPCR repeated;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021)",290608
2020-09-27T00:00:00.000Z,2020-09-28T00:00:00.000Z,Bowery Bay,BB,35900.0,1.31E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),924695
2020-09-27T00:00:00.000Z,2020-09-28T00:00:00.000Z,Coney Island,CI,43400.0,2.22E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),682342
2020-09-27T00:00:00.000Z,2020-09-28T00:00:00.000Z,Hunts Point,HP,19800.0,1.2E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),755948
